model,seed,synth_ratio,n_real,n_synthetic,accuracy,f1_macro,ece_before,T_global,ece_global,T_world,T_sports,T_business,T_scitech,ece_vector
distilbert,42,0%,10000,0,0.9203,0.9202,0.0471,1.3878,0.0143,1.4693,1.1921,0.8124,1.7022,0.0201
distilbert,42,25%,7500,2500,0.9155,0.9154,0.0532,1.478,0.0211,1.6076,1.2197,1.0177,1.7994,0.0175
distilbert,42,50%,5000,5000,0.9071,0.9069,0.0603,1.5337,0.0209,1.3743,1.4898,1.2334,1.8568,0.0176
distilbert,42,75%,2500,7500,0.8979,0.8977,0.0683,1.5343,0.0176,1.2847,1.6086,1.1102,1.9096,0.0262
distilbert,42,100%,0,10000,0.8013,0.7942,0.1542,1.8155,0.0732,1.7123,1.7764,1.9407,1.7555,0.0732
distilbert,123,0%,10000,0,0.9191,0.9192,0.0512,1.5,0.0282,1.7223,0.9736,1.7314,1.4548,0.0264
distilbert,123,25%,7500,2500,0.9129,0.9128,0.053,1.4726,0.0241,1.5429,1.2187,1.6115,1.512,0.0242
distilbert,123,50%,5000,5000,0.9054,0.9053,0.062,1.5171,0.0234,1.6341,1.1203,1.7272,1.5452,0.0239
distilbert,123,75%,2500,7500,0.8991,0.899,0.0672,1.5596,0.0159,1.642,1.1775,1.7561,1.6017,0.0153
distilbert,123,100%,0,10000,0.7626,0.7457,0.1919,1.8933,0.1,1.9348,1.6252,2.0479,1.7974,0.1003
distilbert,456,0%,10000,0,0.9184,0.9183,0.0506,1.3986,0.0188,1.6881,0.7034,1.3205,1.5293,0.0176
distilbert,456,25%,7500,2500,0.9133,0.9131,0.0532,1.4187,0.0152,1.7143,1.0909,1.3523,1.4376,0.019
distilbert,456,50%,5000,5000,0.9091,0.9091,0.0576,1.4329,0.018,1.5136,1.1371,1.4321,1.5805,0.0208
distilbert,456,75%,2500,7500,0.895,0.8949,0.0691,1.5265,0.0205,1.567,1.176,1.5845,1.6837,0.0218
distilbert,456,100%,0,10000,0.7891,0.7789,0.1668,1.8725,0.0793,1.707,1.5374,2.1211,1.775,0.0877
roberta,42,0%,10000,0,0.9282,0.928,0.05,1.49,0.0177,1.4391,1.3652,1.2259,1.6959,0.0196
roberta,42,25%,7500,2500,0.9262,0.926,0.0533,1.552,0.0146,1.8228,1.4619,1.0162,1.5974,0.0201
roberta,42,50%,5000,5000,0.9171,0.9168,0.0611,1.6269,0.0158,1.6382,1.6427,1.2321,1.8328,0.022
roberta,42,75%,2500,7500,0.9051,0.9049,0.0736,1.6472,0.0293,1.5919,1.7845,1.0705,1.8489,0.0391
roberta,42,100%,0,10000,0.8009,0.7914,0.1648,1.9008,0.0953,1.8282,1.9481,2.0112,1.6129,0.0958
roberta,123,0%,10000,0,0.9289,0.9289,0.052,1.5226,0.0166,1.6607,1.1438,1.6502,1.5547,0.0159
roberta,123,25%,7500,2500,0.9255,0.9255,0.0545,1.5892,0.0137,1.6067,1.2003,1.7715,1.6362,0.0132
roberta,123,50%,5000,5000,0.9155,0.9153,0.0611,1.5119,0.0225,1.5619,1.2657,1.6442,1.5528,0.0231
roberta,123,75%,2500,7500,0.9018,0.9019,0.0743,1.6863,0.0203,1.8011,1.4718,1.8359,1.5922,0.0207
roberta,123,100%,0,10000,0.792,0.7811,0.1742,1.9519,0.0999,2.077,1.7165,2.0944,1.5199,0.1
roberta,456,0%,10000,0,0.9336,0.9335,0.0466,1.5529,0.0101,1.8507,0.7565,1.3778,1.6716,0.015
roberta,456,25%,7500,2500,0.9221,0.9219,0.0552,1.5107,0.0194,1.7275,0.9046,1.5634,1.6041,0.0222
roberta,456,50%,5000,5000,0.9186,0.9184,0.0612,1.5244,0.0278,1.6602,1.1575,1.6013,1.6062,0.0294
roberta,456,75%,2500,7500,0.9072,0.907,0.0696,1.5429,0.0335,1.5858,0.825,1.7176,1.723,0.0365
roberta,456,100%,0,10000,0.7853,0.7712,0.1847,1.9895,0.1093,1.8003,1.86,2.1888,1.7272,0.1126
