model,synth_ratio,accuracy_mean,accuracy_std,ece_before_mean,ece_before_std,T_global_mean,T_global_std,ece_global_mean,ece_global_std,ece_vector_mean,ece_vector_std
distilbert,0%,0.9193,0.001,0.0496,0.0022,1.4288,0.0619,0.0204,0.0071,0.0214,0.0045
distilbert,25%,0.9139,0.0014,0.0531,0.0001,1.4564,0.0328,0.0201,0.0045,0.0202,0.0035
distilbert,50%,0.9072,0.0019,0.06,0.0022,1.4946,0.054,0.0208,0.0027,0.0208,0.0032
distilbert,75%,0.8973,0.0021,0.0682,0.001,1.5401,0.0173,0.018,0.0023,0.0211,0.0055
distilbert,100%,0.7843,0.0198,0.171,0.0192,1.8604,0.0403,0.0842,0.014,0.0871,0.0136
roberta,0%,0.9302,0.0029,0.0495,0.0027,1.5218,0.0315,0.0148,0.0041,0.0168,0.0024
roberta,25%,0.9246,0.0022,0.0543,0.001,1.5506,0.0393,0.0159,0.0031,0.0185,0.0047
roberta,50%,0.9171,0.0016,0.0611,0.0001,1.5544,0.0631,0.022,0.006,0.0248,0.004
roberta,75%,0.9047,0.0027,0.0725,0.0025,1.6255,0.0741,0.0277,0.0067,0.0321,0.01
roberta,100%,0.7927,0.0078,0.1746,0.01,1.9474,0.0445,0.1015,0.0071,0.1028,0.0087
