T_standard,T_sats,T_difference,ece_uncalibrated,ece_standard_ts,ece_sats,ece_improvement_standard,ece_improvement_sats,model,ratio
1.4009,1.4567947975678521,0.055894797567852095,0.046904810451363216,0.01299570063227102,0.01857365936040879,0.0339091098190922,0.028331151090954427,DistilBERT,0%
1.478,1.5009402371526983,0.02294023715269833,0.05321107580865686,0.02109259321501383,0.024375319076996096,0.03211848259364303,0.028835756731660764,DistilBERT,25%
1.5337,1.4966086782247556,0.037091321775244435,0.060296482098730016,0.02088390559350186,0.017677622955096377,0.039412576505228156,0.04261885914363364,DistilBERT,50%
1.5343,1.4873396722710428,0.046960327728957196,0.06830019296392012,0.017243203187459363,0.02306331391789415,0.051056989776460754,0.04523687904602597,DistilBERT,75%
1.8155,1.8207166147836533,0.005216614783653428,0.15419150387378117,0.0731960860600597,0.07254413076529376,0.08099541781372147,0.08164737310848741,DistilBERT,100%
1.477,2.008201654026334,0.531201654026334,0.0484299588242644,0.01652148492634301,0.051763761545482456,0.0319084738979214,-0.0033338027212180543,RoBERTa,0%
1.552,2.0528967206713515,0.5008967206713515,0.053318148937664483,0.014578234965079716,0.05360689198892365,0.038739913972584764,-0.0002887430512591646,RoBERTa,25%
1.6269,2.156230935755649,0.5293309357556488,0.06108285962358899,0.015812572562380802,0.050542589382905706,0.045270287061208184,0.010540270240683283,RoBERTa,50%
1.6472,2.1747088998248074,0.5275088998248074,0.07356600215952651,0.02926027107395625,0.04257415704821285,0.04430573108557026,0.030991845111313657,RoBERTa,75%
1.9008,2.2998361524277993,0.3990361524277992,0.1648404792421743,0.09531718363887386,0.06495248020087416,0.06952329560330044,0.09988799904130014,RoBERTa,100%
